Identifier,Label,Status,Description,Created,Modified,History notes,Type
712,Furnished tenancies,Live,This scheme provides a specified range of furniture and appliances up to a certain value when a tenant moves into their property. They sign an agreement to pay over a fixed period of time. This is subject to eligibility.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Housing allocations - furnished tenancies' to 'Housing - allocations - furnished tenancies' in version 3.00. Name changed to 'Furnished tenancies' in version 4.00.,Service
1820,Gambling addiction advice and support,Live,Advice and support for anyone affected by problem gambling.  Typically services are available both to individuals who have a problem with gambling and to families and friends of problem gamblers.,28/04/2020,28/04/2020,Service added in 2020 annual review.,Service
1134,Gambling premises licence,Live,Licences for any premises where gambling takes place. Issuing of the licences is the responsibility of the local authority.,03/04/2013,03/04/2013,Name changed to 'Gambling premises licence' in version 4.00.@en,Service
1682,Gambling premises temporary use notices,Live,Temporary use notices (TUN) allow the use of premises for gambling where there is no premises licence but where a gambling operator wishes to use the premises temporarily for providing facilities for gambling.  A temporary use notice must be lodged with the licensing authority not less than 3 months and 1 day before the day on which the gambling event will begin.,20/02/2014,20/02/2014,,Service
115,Garage lettings,Live,"Garages may be available for rent to council tenants, leaseholders and private tenants and a waiting list is usually maintained for these. The authority will process applications and issue rental agreements which usually include restrictions on the use of the garage.  The Council is generally responsible for making structural repairs to its property, which includes garage blocks. Where the damage has been caused by the leaseholder they may be asked to pay for the repairs.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Council lettings - garages' to 'Land and property - council lettings - garages' in version 3.00. Term name changed to 'Land and property - garages - lettings' and scope notes amended in version 3.05. Name changed to 'Garage lettings' in version 4.00.,Service
1796,Gas safety inspection,Live,"Inspection and servicing of any gas fires, boilers or other appliances at least once every year in any accommodation where the council is the landlord. This work must be carried out by a competent Gas Safe registered installer who must provide the householder with a certificate confirming that the appliance has been checked and is safe to use.",08/05/2017,08/05/2017,Added in March 2017.,Service
1155,Gifted and talented awards,Live,Grants awarded to particularly gifted individuals in the local area to pursue cultural activities.,03/04/2013,03/04/2013,Added in version 3.06. Name changed to 'Gifted and talented awards' in version 4.00.,Service
832,Going into hospital,Live,A person claiming benefits who is admitted to hospital must notify the local authority that deals with their claims for housing and council tax benefit.,03/04/2013,03/04/2013,Scope notes added in version 2.02. Term name changed from 'Tax relief and benefits when hospitalised' to 'Benefits - hospitalisation' in version 3.00. Name changed to 'Going into hospital' in version 4.00.,Service
584,Graffiti removal,Live,Provision of a facility whereby members of the public cab report graffiti to the council.  The council will arrange for the removal of the graffiti in a timescale determined by the content with the highest priority likely to be given to graffiti which is racist or offensive in some other way.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Graffiti' to 'Vandalism - graffiti - reporting and removal' in version 3.00. Name changed to 'Graffiti removal' in version 4.00.,Service
615,Grants and support for voluntary organisations,Live,Provision of grants or other practical or financial assistance to local voluntary organisations.  Grants and advice may be made available by the local council or by other organisations.  Grants are usually available for projects/organisations that comply with the terms and conditions imposed on the issue of funding.,04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
589,Grass cutting,Live,Cutting of grass on public land within the local authority area.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Grass cutting' to 'Land and property - grass cutting' in version 3.00. Name changed to 'Grass cutting' in version 4.00.,Service
333,Grave purchasing,Live,In cemeteries run by the local authority citizens may buy a grave plot usually for a period of up to 50 years.  There may be conditions attached to the purchase according to the type of grave i.e. whether a memorial can be placed on the grave etc.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Buying a grave' to 'Death - funerals - buying a grave' in version 3.00. Name changed to 'Grave purchasing' in version 4.00.,Service
464,Grazing land,Live,"Open land owned by the local authority which may be used by the public for grazing animals.  The precise use of the land (e.g. for horses, cattle etc.) may differ according to location and the local authority may issue grazing permits to limit the number of animals on the land.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Grazing' to 'Land and property - grazing' in version 3.00. Name changed to 'Grazing land' in version 4.00.,Service
1357,Greyhound racing track licence,Live,A licence may be required in order to operate a track for greyhound racing. In the UK anyone wishing to open a greyhound racing track which is not a member of the Greyhound Board of Great Britain (GBGB) must obtain a licence.,03/04/2013,25/01/2019,Added in version 3.10. Name changed to 'Greyhound racing track licence' in version 4.00.,Service
655,Gypsy and traveller sites,Live,Provision and management of permanent or transit sites for use by travellers within the area.  Also dealing with unauthorised use of land by traveller communities.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Gypsy and traveller sites' to 'Travelling people - provision of sites' in version 3.00. Name changed to 'Gypsy and traveller sites' in version 4.00.,Service
635,Hackney carriage (taxi) drivers licence,Live,"A licence is required before any person can drive a hackney carriage (taxi).  Licenses are issued subject to proof of eligibility (age, driving licence, criminal records check, medical assessment etc.).",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Licence - hackney carriage driver's licences' to 'Licences - hackney carriages (taxis) - drivers' licences' in version 3.00. Name changed to 'Hackney carriage (taxi) drivers licence' in version 4.00.,Service
632,Hackney carriage (taxi) licence,Live,A hackney carriage is more commonly called a taxi. It is the responsibility of the local authority to regulate the number of hackney carriages it licences.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Licence - hackney carriage (taxi)' to 'Licences - hackney carriages (taxis)' in version 3.00. Name changed to 'Hackney carriage (taxi) licence' in version 4.00.,Service
85,Hard to let properties,Live,"A low demand or 'hard to let' property is a property where one or more of the following symptoms are exhibited: a small or non-existent waiting list for the property; tenancy offers on a property frequently refused for reasons other than personal reasons; higher than normal rates of tenancy turnover for a property in an area. Many initiatives used by councils and Registered Social Landlords to let low demand properties are based on making the property more attractive to the potential tenant. This includes offering incentives such as a rent-free period if the tenancy is accepted; offering a decoration, furniture or white goods allowance; or offering a garden tidy.",03/04/2013,03/04/2013,Added scope notes in version 2.02 Scope notes updated in version 3.00. Term name changed from 'Housing allocations - hard to let/easy access properties' to 'Housing - allocations - hard to let properties' in version 3.00. Name changed to 'Hard to let properties' in version 4.00.,Service
1133,Hate crime,Live,"Local authorities are required to log and monitor instances of serious crime directed at a victim for religious or racial reasons. 
At present in the UK legislation currently applies to England and Wales only.",03/04/2013,03/04/2013,Name changed to 'Hate crime' in version 4.00.,Service
798,Hazardous chemical (HAZCHEM) incidents,Live,Attending incidents involving hazardous chemicals to protect life and mitigate the effects on the environment.  Providing advice and information on hazardous chemicals and emergency procedures to deal with them.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'HAZCHEM information' to 'Fire and rescue - hazardous chemical (HAZCHEM) incidents' in version 3.00. Name changed to 'Hazardous chemical (HAZCHEM) incidents' in version 4.00.,Service
850,Hazardous waste collection,Live,Collection of waste which is of a hazardous nature and cannot be disposed of through regular household or business waste collections.  This service is generally available free of charge to residents but the local authority may charge for commercial collection.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Hazardous waste collection' to 'Refuse - hazardous waste - collection' in version 3.00. Name changed to 'Hazardous waste collection' in version 4.00.,Service
1507,Head lice,Live,"Provision of advice to schools, parents and children on prevention and dealing with head lice",14/10/2010,14/10/2010,Added scope notes in version 3.11.,Service
199,Health advice,Live,Advice and information on health issues of concern to individuals and the community.  Providing advice on how to live active and  healthy lives for all members of the community.  The local authority may work with other agencies (health services) and organisations to provide this service. ,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Health advice' to 'Health - advice' in version 3.00. Name changed to 'Health advice' in version 4.00.,Service
421,Health and safety - prosecutions register,Live,The local authority will keep information on any businesses that have been prosecuted for Health and Safety breaches.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Prosecutions register' to 'Safety - health and safety - prosecutions register' in version 3.00. name changed to 'Health and safety - prosecutions register' in version 4.00.,Service
419,Health and safety regulation,Live,A local authority carries out regular checks on local businesses and business premises to ensure that safe and healthy working conditions are provided for all employees and visitors.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Health and safety at work - regulation and inspection' to 'Safety - health and safety - regulation and inspection' in version 3.00. Name changed to 'Health and safety regulation' in version 4.00.,Service
422,Health and safety training,Live,The local authority provide food hygiene and occupational health and safety training courses for managers and staff of local businesses.  Some of the courses may also be open to members of the public.,03/04/2013,03/04/2013,Term name changed from 'Training courses' to 'Training courses (health and safety)' and scope notes added in version 2.02. Term name changed from 'Training courses (health and safety)' to 'Safety - health and safety - training courses' in version 3.00. Name changed to 'Health and safety training' in version 4.00.,Service
1688,Health and wellbeing strategy,Live,"Established and hosted by local authorities, health and wellbeing boards bring together the NHS, public health, adult social care and children's services, including elected representatives and Local Healthwatch, to plan and form a strategy of how best to meet the needs of their local population and tackle local inequalities in health.",20/02/2014,16/05/2019,,Service
1747,Health checks,Live,Free health checks are provided to anyone eligible between the ages of 40 and 74 tro enable them to take steps to maintain or improve their health.,05/02/2015,05/02/2015,,Service
1817,Help leaving prison,Live,Help for prisoners due for release or who have just been release from prison.  Help may include assistance with finding accommodation and benefits advice.,28/04/2020,28/04/2020,Service added in 2020 annual review.,Service
1122,High hedges,Live,"Provided they have tried and exhausted all other avenues for resolving their hedge dispute, people have been able to take their complaint about a neighbour's evergreen hedge to their local authority. The role of the local authority is not to mediate or negotiate between the complainant and the hedge owner but to adjudicate on whether the hedge is adversely affecting the complainant's reasonable enjoyment of their property.",03/04/2013,03/04/2013,Name changed to 'High hedges' in version 4.00.,Service
1655,Highway planting licence,Live,"The owner of any land adjacent to a highway requires a licence from the highway authority to plant and maintain shrubs, plants or grass on such land.  The licence may stipulate the location and height of any planting.",27/09/2013,27/09/2013,"Added in version 4.0.1 to the English hand welsh, local government service list.",Service
744,Highway projection licence,Live,The local authority is responsible for processing applications for licences are required for any display or temporary construction which may protrude or project over a public highway.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Term name changed from 'Licence - highway projection' to 'Licences - highway projection' in version 3.00. Name changed to 'Highway projection licence' in version 4.00.,Service
841,Historic sites maintenance,Live,"Maintenance and preservation of sites of historical or cultural interest and ancient monuments within the local authority area. In many cases this may be undertaken jointly or wholly by third party organisations. Local authorities are obliged to maintain a list of all monuments in their area, which is available for public inspection.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include publication of statutory register. Term name changed from 'Sites and ancient monuments' to 'Land and property - historic sites - maintenance' in version 3.00. name changed to 'Historic sites maintenance' in version 4.00.,Service
323,Historical record searches,Live,"Searches of the records in a Registrars Office for details of births, marriages or deaths, usually for copy certificates. Copy certificates can only be obtained from the district in which the birth, marriage or death was first registered.",03/04/2013,16/05/2019,"Term name changed from 'Births historical searches' to 'Births- historical searches' and scope notes added in version 2.02. Term name changed from 'Births- historical searches' to 'Birth - historical searches' in version 3.00. Merged with other historical searches and name changed to ""Historical record searches' 25/01/2019.",Service
202,HIV / AIDS support for adults,Live,"This service provides a confidential service, counselling and emotional support, financial advice and practical advice to people diagnosed with HIV.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Support for adults with HIV' to 'Social services - HIV / AIDS - advice and support for adults' in version 3.00. Name changed to HIV/AIDS support for adults in version 4.00.,Service
246,HIV / AIDS support for children and young people,Live,Support for children and the families of children living with HIV and AIDS to ensure that children with HIV and their families receive the best support to live their lives as they would choose..,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Support for children with HIV' to 'Children and young people - HIV / AIDS - advice and support' in version 3.00. Name changed to 'HIV/AIDS support for children and young people' and scope note revised  in version 4.00. ,Service
178,Home adaptations and aids,Live,"If a client is visually impaired, hard of hearing or has other disabilities for which he/she may need special equipment or adaptations to his/her home the local authority will provide such equipment which will assist in overcoming difficulties subject to an assessment of personal needs to determine eligibility.",03/04/2013,16/05/2019,Added scope notes in version 2.02. Term name changed from 'Equipment and adaptations to the home' to 'Disabled people - home adaptations and aids' in version 3.00. Name changed to 'Home adaptations and aids' 25/01/2019,Service
123,Home contents insurance,Live,"Local authorities are responsible for insurance of residential council properties but do not insure tenants personal belongings, household goods and contents. However, they may offer comprehensive insurance cover for contents which is exclusively available to tenants. Tenants are advised to take out home contents insurance.",03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Housing - home insurance' to 'Housing - council - home insurance' in version 3.00. Name changed to 'Home contents insurance' in version 4.00.,Service
1119,Home fire safety check,Live,Inspection of residential property to help the homeowner Identify and be aware of the potential fire risks in the home and what to do to reduce or prevent these risks. Attending officers will als help put together an escape plan which can be used in the event of a fire..,04/03/2013,25/01/2019,Label modified in April 2020 review,Service
1602,Home fire safety equipment,Live,"Advice and information on how to choose, install, and maintain smoke alarms and other types of fire safety equipment residents may want to consider having in their home",03/04/2013,16/05/2019,Added in version 4.00.,Service
858,Home improvement loans,Live,Local authorities may provide financial assistance (in the form of a mortgage or secured loan) to existing or prospective homeowners to enable them to carry out improvements and repairs on their property.,03/04/2013,03/04/2013,Term name changed from 'Mortgages' to 'Housing - improvement and repairs - loans' in version 3.00. Name changed to 'Home improvement loans' in version 4.00.,Service
158,Home purchase grants,Live,Under the home move purchase scheme the local authority will pay a tenant a grant to help them buy their new home. The tenant must give up their property to be eligible for this scheme.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Home ownership service - home move purchase grants' to 'Housing - council - new home purchase grants' in version 3.00. Name changed to 'Home purchase grant' in version 4.00.,Service
433,Home renovation grants,Live,Home renovation grants may be available to repair or improve privately owned dwellings and to bring empty properties back into use.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Renovation grants' to 'Grants - home renovation' in version 3.00. Name changed to 'Home renovation grants' and scope notes updated in version 4.00.,Service
136,Home repair assistance grant,Live,"The repair assistance grant scheme provides financial assistance towards the cost of materials required to carry out repairs, improvements or adaptations to rented council property.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Home improvements - home repair assistance grant' to 'Housing - improvements - home repair assistance grant' in version 3.00. Name changed to 'Home repair assistance grant' in version 4.00.,Service
423,Home safety advice,Live,"Advice and information about safety in the home including accident prevention, what to do in the event of an accident, risks in the home etc.  Some authorities may run safety awareness training sessions for the local community.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Home safety' to 'Safety - home safety - advice' in version 3.00. Name changed in 'Home safety advice' in version 4.00.,Service
1704,Home school agreement,Live,"All maintained schools, academies, city technology colleges and city colleges for the technology of the arts are required to publish a home-school agreement and associated parental declaration.    A home-school agreement is a statement explaining the schools aims and values, the schools responsibilities towards its pupils who are of compulsory school age, the responsibility of each pupils parents and what the school expects of its pupils.  Schools must take reasonable steps to ensure that all registered parents of pupils sign the parental declaration to indicate that they understand and accept the contents of the home-school agreement.",20/02/2014,16/05/2019,,Service
1,Home schooling,Live,"The education authority will arrange to visit a parent thinking about educating their child at home to help them plan the child's education. They will ensure that the child will receive efficient full-time education suitable to their age, ability and any special needs.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Educating your child at home' to 'Schools - home schooling' in version 3.00. . Term name changed to 'Home schooling' in version 4.00,Service
1800,Homelessness assessment,Live,Assessment of the circumstances of anyone in the authority area who is homeless or threatened with homelessness and may be eligible for assistance,16/05/2018,16/05/2018,Added in May 2018,Service
112,Homelessness support,Live,This service provides information and advice about housing to people who are homeless or at risk of becoming homeless. They may be offered temporary accommodation or permanent home.,03/04/2013,03/04/2013,Term name changed from 'Homelessness' to 'Homelessness (help and advice)' and scope notes added in version 2.02. Term name changed from 'Homelessness (help and advice)' to 'Homelessness - advice and support' in version 3.00. Name changed to 'Homelessness support' in version 4.00.,Service
898,Homes in multiple occupancy licence,Live,Landlords of houses of multiple occupation (with more than two households or tenants) are required to be licensed by the Local Authority.,03/04/2013,25/01/2019,Term name changed from 'Licence - house of multiple occupation' to 'Licences - homes in multiple occupancy' in version 3.00.. Name changed to 'Homes in mutiple occupancy licence' in version 4.00.,Service
264,Hospice care for children and young people,Live,"Children's hospices provide respite and terminal care for children suffering from life-limiting conditions in a home-from-home environment. Care is provided for the child and their family at no cost to them for as long as is necessary, including post bereavement support.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Hospice care for children' to 'Children and young people - hospice care' in version 3.00. Name changed to 'Hospice care for children and young people in version 4.00.,Service
1814,Hospitals and clinics,Live,NHS hospitals and clinics providing medical services in the local area.,28/04/2020,28/04/2020,Service added in 2020 annual review.,Service
1714,Hostels and emergency accommodation,Live,Provision of hostels or other temporary accommodation for people who would otherwise be homeless.,20/02/2014,20/02/2014,,Service
912,House clearance and re-housing,Live,Where a property is unfit to live in the LA may decide to demolish it and redevelop the site (which may mean the clearance of neighbouring property).  The council will usually offer the owners the market value of the property and repay expenses associated with moving plus possible compensation. Where the property is rented tenants will be given priority for re-housing in a council property.,03/04/2013,03/04/2013,Term name changed from 'Clearance and re-housing service' to 'Housing - clearance and re-housing' in version 3.00. name changed to 'House clearance and rehousing' in version 4.00.,Service
648,House to house collection licence,Live,Permission must be granted by the local authority before a house to house collection can take place. Application should be made to the local authority with sufficient notice prior to the date on which the collection is due to take place.,03/04/2013,25/01/2019,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish legislation. Term name changed from 'Licence - house to house collection' to 'Licences - house to house collection' in version 3.00. Name changed to 'House to house collection licence' in version 4.00.,Service
780,Houseboat moorings,Live,Advice and regulation concerning the use and mooring of houseboats that are located in waters maintained by the local authority.,03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Houseboats' to 'Boats - houseboats' in version 3.00. Name changed to 'Houseboats' in version 4.00. Name changed to 'Houseboat moorings' 25/01/2019,Service
530,Household garden waste,Live,Garden waste may be collected from outside residential properties.  There may be a charge for this service. Containers for garden waste may be provided or may need to be purchased from the local authority..,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Household waste - garden waste' to 'Refuse - household waste - garden waste' in version 3.00. Name changed to 'Garden waste' and scope notes updated in version 4.00.,Service
1473,Household waste accumulation,Live,Where accumulations of rubbish are considered a statutory nuisance the council may ask the landowner to remove the rubbish and has the power to prosecute where no action is taken.,03/04/2013,03/04/2013,Added in version 3.11. Name changed to 'Household waste accumulation' in version 4.00.,Service
854,Household waste assisted collection,Live,"An assisted refuse collection service provided to residents who, through illness or infirmity, are unable to put out their refuse and do not have anyone else to assist them.",03/04/2013,03/04/2013,Term name changed from 'Assisted refuse collection' to 'Refuse - household waste - assisted collection' in version 3.00. Name changed to 'Household waste assisted collection' in version 4.00.,Service
524,Household waste collection,Live,The local authority provides a regular (usually weekly) collection of household rubbish from all residential premises within the authority boundaries.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Household waste - collection' to 'Refuse - household waste - collection' in version 3.00. Name changed to 'Household waste collection' in version 4.00.,Service
526,Household waste containers,Live,"The local authority may provide dustbins, wheelie bins or bags for household waste.  The type and size of bins available may vary according to local circumstances and to the nature of the property (e.g. the number of residents).",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Household waste - domestic bins' to 'Refuse - household waste - domestic bins' in version 3.00. Name changed to 'Household waste containers' in version 4.00.,Service
531,Household waste disposal sites,Live,Provision of civic amenity sites which may be used by local residents (usually free of charge) and businesses (usually charged).  The sites provide facilities for collection of all household and garden waste other than anything which may be considered as hazardous and requiring special treatment.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Household waste - disposal sites' to 'Refuse - household waste - disposal sites' in version 3.00.  Scope notes updated in version 3.01 for clarification. Name changed to 'Household waste disposal sites' in version 4.00.,Service
1470,Household waste enforcement,Live,Under the council can specify the location and times at which household waste can be placed for collection. The council can take action against any residents who do not comply with local regulations.,03/04/2013,03/04/2013,Added in version 3.11. Name changed to 'Household waste enforcement' in version 4.00.,Service
716,Houses in multiple occupation register,Live,The landlord or person having control of or managing homes in multiple occupancy must apply to register the premises with the local authority.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Homes in multiple occupancy - register' to 'Housing - multiple occupation - register' in version 3.00. Name changed to 'Houses in multiple occupation register' in version 4.00.,Service
150,Houses in multiple occupation safety inspection,Live,"The local authority carries out safety inspection on homes in multiple occupation to ensure that it is safe, fit to live in and meet the legislative standards.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Safety inspection - homes in multiple occupation' to 'Housing - multiple occupation - safety inspection' in version 3.00. Name changed to 'Houses in multiple occupation safety inspection' in version 4.00.,Service
652,Housing advice,Live,"Advice to homeowners, tenants and landlords in the private sector on housing related matters such as tenancies, welfare benefits, rent, alterations and repairs, neighbour disputes etc.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
89,Housing allocation system,Live,The local authority or Registered Social Landlord uses a housing point system as a guide to priority when allocating housing. The points system reflects the current situation or condition in which an applicant lives.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00. Term name changed from 'Housing allocations - allocation points' to 'Housing - allocations - allocation system' in version 3.00. Name changed to 'Housing allocation system' in version 4.00.,Service
661,Housing and public health,Live,Providing advice and information to the public on all aspects of public health relating to housing.  Enforcement of public health and housing regulations.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Public health - housing' to 'Housing - public health advice' in version 3.00. Name changed to 'Housing and public health' in version 4.00.,Service
87,Housing association  nomination and registration,Live,Housing Associations are 'Registered Social Landlords' not private landlords. They provide housing in a very similar way to the Council and are non-profit making.  People on the local  authority transfer list or housing register may be offered a Housing Association property instead of a Council home.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Housing association - nomination to join the register' to 'Housing - associations - nomination and registration' in version 3.00. Name changed to 'Housing association nomination and registration' in version 4.00,Service
72,Housing benefit appeals,Live,Anyone who has claimed housing benefit and disagrees with the decision made in their assessment can challenge the decision by submitting an appeal from within one month of the date of the original decision.  The authority is responsible for advising claimants of appeal procedures and investigating each appeal.,03/04/2013,16/05/2019,Term name changed from' Appeals' to 'Housing benefit appeals' and scope notes added in version 2.02. Term name changed from 'Housing benefit appeals' to 'Housing - benefit - appeals' in version 3.00. Name changed to 'Hosuing benefit appeals' in version 4.00.,Service
68,Housing benefit backdated claims,Live,A claimant may be eligible for their claim for housing benefit to be backdated (by up to 52 weeks) if there is a good cause why they were unable to apply for their housing benefit earlier.  The authority is responsible for advising residents about eligibility for backdating claims and for processing applications.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Backdating claims' to 'Housing - benefit - backdated claims' in version 3.00. Name changed to 'Housing benefit backdated claims' in version 4.00,Service
70,Housing benefit current claim,Live,"Review of housing benefit for an existing client usually as a result of a change of circumstances (new job, change of address etc.)",03/04/2013,03/04/2013,Term name changed from' Current claim' to 'Current claim (housing tax benefit)' and scope notes added in version 2.02. Term name changed from 'Current claim (housing tax benefit)' to 'Housing - benefit - current claim' in version 3.00. name changed to 'Hosuing benefit current claim' in version 4.00.,Service
69,Housing benefit new claim,Live,Processing of a new claim for housing benefit from both council and private tenants.  Claims require evidence of tenancy and income in order to assess eligibility for benefit.,03/04/2013,03/04/2013,Term name changed from' New claim' to 'Housing benefit - new claim' and scope notes added in version 2.02. Term name changed from 'Housing benefit - new claim' to 'Housing - benefit - new claim' in version 3.00. Name changed to 'Housing benefit new claim' in version 4.00.,Service
71,Housing benefit overpayments,Live,The local authority has a duty to recover overpayments of benefit for which there was no entitlement from tenants and landlords and where necessary take criminal proceedings in respect of fraudulent overpayments.,03/04/2013,03/04/2013,Term name changed from' Overpayments' to 'Housing benefit - overpayments' and scope notes added in version 2.02. Term name changed from 'Housing benefit - overpayments' to 'Housing - benefit - overpayments' in version 3.00. Name changed to 'Hosuing benefit overpayments' in version 4.00.,Service
73,Housing benefit renewal,Live,Local authorities may review the circumstances of anyone who is currently receiving housing and council tax benefit by issuing a change in circumstances form or by carrying out a visit.,03/04/2013,03/04/2013,"Term name changed from' Renewal' to 'Housing benefit - renewal' and scope notes added in version 2.02, and changed in version 3.06. Term name changed from 'Housing benefit - renewal' to 'Housing - benefit - renewal' in version 3.00. Name changed to 'Housing benefit renewal' in version 4.00.",Service
1054,Housing Care and Repair scheme,Live,"The Care and Repair project is for elderly or disabled owner/occupiers or private sector tenants who require repairs or improvements to their home. The service excludes decoration, gardening, fencing, slabbing etc.  Clients are required to pay the cost of the materials only. A hardship fund will operate to pay for materials in limited cases. If you are unsure whether the small repairs service can assist, please telephone for advice.",03/04/2013,03/04/2013,Name changed to 'Musical instrument hire' in version 4.00.,Service
666,Housing condition surveys,Live,The local authority is under a duty to gain access to properties to undertake surveys for number of reasons such as major repairs and to carry out specialist surveys.,03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Surveying (major repairs)' to 'Housing - surveying - major repairs' in version 3.00. Name changed to 'House surveying - major repairs' in version 4.00. Name changed o 'Housing condition surveys' 25/01/2019,Service
97,Housing crime support,Live,"The local authority provides support and assistance to residents who are victims of a crime such as homophobic crime, racist crime, or general crime committed in their home or whilst in the vicinity of their home. If the resident is a council tenant and the council are unable to resolve the problem they may offer the tenant the chance of being re-housed in a different area.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed in version 3.0 to clarify scope. Term name changed from 'Council housing - crime' to 'Housing - crime support and assistance' in version 3.00. Scope notes updated in version 3.04. Name changed to 'Housing crime support' in version 4.00.,Service
1821,Housing enforcement,Live,The local authority is responsible for enforcing legislation which establishes how landlords and letting agents should deal with tenants regarding living accommodation and associated financial matters,28/04/2020,28/04/2020,Service added in 2020 annual review.,Service
99,Housing estate safety,Live,The council work with tenants to ensure the safety of all council housing estates.  They will address issues of nuisance and harassment and ensure all areas are well lit and secured (entry doors etc.).,03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Housing estate safety' in version 4.00.,Service
117,Housing evictions,Live,If a tenant fails to pay rent or breaches any aspects of their tenancy agreement the local authority has the right to evict the tenant by applying to the court to repossess the property.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Council housing - evictions' to 'Housing - council - evictions' in version 3.00. Name changed to 'Housing evictions' in version 4.00.,Service
124,Housing insurance claims,Live,"Council tenants may make insurance claims against the council for any damage that the council causes to the tenants' possessions, or injury to the tenant or members of their family.  This includes damage caused by contractors working on behalf of the council.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Housing - insurance claims against the council' to 'Housing - council - insurance claims' in version 3.00. Name changed to 'Housing insurance claims' in version 4.00.,Service
110,Housing legal advice,Live,"Court housing advice and representation schemes aim to provide free, independent and confidential advice and representation to homeowners and tenants attending hearings in possession proceedings brought on grounds of arrears, who either have not previously obtained advice and/or are without legal representation.  In Scotland, the Shelter and Law Centre aims to provide free advice and support.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Representation on court' to 'Housing - legal advice and support ' in version 3.00. Scope notes amended in version 3.05. Name changed to 'Housing legal advice' in version 4.00.,Service
1124,Housing mediation,Live,The council provides a mediation service to help resolve disputes between neighbours or between citizens and the council.,03/04/2013,03/04/2013,Name changed to 'Housing mediation' in version 4.00.,Service
144,Housing modernisation schemes,Live,"For council owned properties which are particularly old the council will implement a modernisation scheme to bring the property up to acceptable standards.  This may involve rewiring, new windows, new doors etc.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Modernisation schemes' to 'Housing - council - modernisation schemes' in version 3.00. Name changed to 'Housing modernisation schemes' in version 4.00.,Service
